"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
160,0,0,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,901,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,1206,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,1285,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,1379,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,1687,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,1741,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,1757,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,1761,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,1853,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,1881,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,1926,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,1977,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,2038,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,2057,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,2046,0,0,0,0,0
