strategy,rel_pct,metric,n,mean,sd,se,tval,lo,hi
Boosted YLE (XS=0.8),3.8,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),4,Maximum total population,100,10607.69,161.07929504728193,16.107929504728194,1.9842169515864172,10575.72837322176,10639.65162677824
Boosted YLE (XS=0.8),4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,0.2,Maximum total population,100,10709.68,135.5864836385049,13.558648363850489,1.9842169515864172,10682.776700075849,10736.583299924152
YLE,0.2,Minimum female population,100,4117.53,182.23419580641863,18.223419580641863,1.9842169515864172,4081.3707819522183,4153.689218047781
YLE,0.4,Maximum total population,100,10632.03,148.43251399919498,14.843251399919499,1.9842169515864172,10602.577768955622,10661.48223104438
YLE,0.4,Minimum female population,100,3587.19,319.49760736367193,31.949760736367192,1.9842169515864172,3523.79474314777,3650.58525685223
YLE,0.6,Maximum total population,100,10594.57,157.58590762764376,15.758590762764376,1.9842169515864172,10563.30153707541,10625.83846292459
YLE,0.6,Minimum female population,100,3079.02,349.9470661270202,34.99470661270202,1.9842169515864172,3009.5829099232833,3148.4570900767167
YLE,0.8,Maximum total population,100,10591.03,147.99730102644142,14.799730102644142,1.9842169515864172,10561.66412465143,10620.395875348571
YLE,0.8,Minimum female population,100,2576.31,351.73706591053707,35.17370659105371,1.9842169515864172,2506.5177351319044,2646.1022648680955
YLE,1,Maximum total population,100,10547.77,150.9566701495044,15.09566701495044,1.9842169515864172,10517.816921613432,10577.723078386569
YLE,1,Minimum female population,100,1979.27,392.7814015377249,39.27814015377249,1.9842169515864172,1901.3336484800975,2057.2063515199025
YLE,1.2,Maximum total population,100,10560.38,145.71057378629501,14.5710573786295,1.9842169515864172,10531.467860946785,10589.292139053214
YLE,1.2,Minimum female population,100,1416.65,482.8610100748508,48.28610100748508,1.9842169515864172,1320.8398998549342,1512.460100145066
YLE,1.4000000000000001,Maximum total population,100,10537.71,165.08230545929985,16.508230545929983,1.9842169515864172,10504.954089110068,10570.46591088993
YLE,1.4000000000000001,Minimum female population,100,795.7,472.67659304873723,47.267659304873725,1.9842169515864172,701.9107091454582,889.4892908545419
YLE,1.6,Maximum total population,100,10606.81,160.89507811495088,16.08950781149509,1.9842169515864172,10574.884925857748,10638.73507414225
YLE,1.6,Minimum female population,100,303.76,324.02011160925287,32.402011160925284,1.9842169515864172,239.46738018899975,368.0526198110002
YLE,1.7999999999999998,Maximum total population,100,10603.97,175.14037400342792,17.514037400342794,1.9842169515864172,10569.218350099522,10638.721649900477
YLE,1.7999999999999998,Minimum female population,100,89.12,184.726239160395,18.472623916039502,1.9842169515864172,52.46630648551376,125.77369351448624
